State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Idaho,ADA,Ada County Sheriff's Office,ID0010000,2636,1173,1463,3636,1598,2038,97,32,65,1,0,1,427,185,242,11,4,7,1471,337,1134,430,124,306,5194,1337,3857,895,386,509,7095,1798,5297,43.60671,-116.26885
Idaho,ADA,Boise Police Department,ID0010100,5454,2033,3421,8309,2917,5392,353,67,286,8,1,7,1151,322,829,49,23,26,4788,427,4361,2699,421,2278,32705,5368,27337,2210,684,1526,40192,6216,33976,43.60671,-116.26885
Idaho,NOT SPECIFIED,Attorney General,ID001015A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Idaho,ADA,Garden City Police Department,ID0010200,825,330,495,1011,392,619,33,8,25,0,0,0,73,20,53,6,3,3,583,111,472,261,71,190,2503,595,1908,124,38,86,3347,777,2570,43.643784,-116.26528
Idaho,ADA,Meridian Police Department,ID0010300,1486,592,894,2115,782,1333,89,20,69,3,0,3,268,73,195,19,9,10,1342,160,1182,437,75,362,8870,1927,6943,521,157,364,10649,2162,8487,43.451477,-116.244376
Idaho,ADAMS,Adams County Sheriff's Office,ID0020000,126,56,70,132,58,74,2,0,2,0,0,0,1,0,1,5,2,3,43,6,37,28,7,21,267,23,244,1,0,1,338,36,302,44.884583,-116.431873
Idaho,BANNOCK,Bannock County Sheriff's Office,ID0030000,102,47,55,143,65,78,4,2,2,0,0,0,19,7,12,2,1,1,116,11,105,71,9,62,359,61,298,39,17,22,546,81,465,42.692938,-112.228986
Idaho,BANNOCK,Chubbuck Police Department,ID0030100,421,169,252,510,194,316,9,3,6,0,0,0,22,6,16,4,2,2,453,60,393,181,31,150,4842,1231,3611,48,13,35,5476,1322,4154,42.692938,-112.228986
Idaho,"BANNOCK, POWER",Pocatello Police Department,ID0030200,2517,1037,1480,2917,1164,1753,66,21,45,0,0,0,136,39,97,19,9,10,2664,481,2183,1066,171,895,9794,1933,7861,259,75,184,13524,2585,10939,42.692938,-112.228986
Idaho,NOT SPECIFIED,Fort Hall Tribal,ID0030300,553,223,330,676,266,410,28,9,19,0,0,0,13,1,12,15,7,8,114,27,87,201,40,161,554,49,505,89,29,60,869,116,753,43.216357,-112.399206
Idaho,BEAR LAKE,Bear Lake County Sheriff's Office,ID0040000,12,6,6,19,7,12,4,2,2,0,0,0,3,1,2,1,0,1,50,3,47,11,2,9,107,5,102,6,1,5,168,10,158,42.285833,-111.327445
Idaho,BEAR LAKE,Montpelier Police Department,ID0040100,35,15,20,61,24,37,0,0,0,0,0,0,19,7,12,0,0,0,57,12,45,27,9,18,335,62,273,26,9,17,419,83,336,42.285833,-111.327445
Idaho,BENEWAH,Benewah County Sheriff's Office,ID0050000,350,170,180,395,187,208,8,3,5,0,0,0,26,9,17,8,3,5,166,45,121,81,26,55,460,64,396,32,12,20,707,135,572,47.315243,-116.56676
Idaho,BINGHAM,Bingham County Sheriff's Office,ID0060000,355,165,190,475,217,258,11,4,7,0,0,0,56,23,33,8,4,4,532,123,409,246,80,166,1085,201,884,103,44,59,1863,404,1459,43.194084,-112.34408
Idaho,BINGHAM,Aberdeen Police Department,ID0060100,20,8,12,21,8,13,1,0,1,0,0,0,0,0,0,0,0,0,34,5,29,18,6,12,102,24,78,0,0,0,154,35,119,43.216357,-112.399206
Idaho,BINGHAM,Blackfoot Police Department,ID0060200,491,232,259,633,292,341,27,9,18,0,0,0,70,28,42,8,4,4,843,257,586,237,77,160,2157,528,1629,116,50,66,3237,862,2375,43.216357,-112.399206
Idaho,BINGHAM,Shelley Police Department,ID0060400,60,29,31,84,40,44,0,0,0,0,0,0,15,6,9,0,0,0,98,20,78,74,25,49,393,74,319,20,9,11,565,119,446,43.381145,-112.12585
Idaho,BLAINE,Blaine County Sheriff's Office,ID0070000,104,46,58,126,54,72,7,3,4,0,0,0,19,7,12,0,0,0,77,15,62,24,4,20,134,17,117,22,8,14,235,36,199,43.394482,-113.95529
Idaho,BLAINE,Ketchum Police Department,ID0070100,94,39,55,110,46,64,0,0,0,0,0,0,6,2,4,0,0,0,51,16,35,31,8,23,255,55,200,16,7,9,337,79,258,43.394482,-113.95529
Idaho,BLAINE,Sun Valley Police Department,ID0070200,16,8,8,20,10,10,0,0,0,0,0,0,4,2,2,0,0,0,19,3,16,3,0,3,40,0,40,4,2,2,62,3,59,43.394482,-113.95529
Idaho,BLAINE,Hailey Police Department,ID0070300,236,116,120,262,125,137,3,1,2,0,0,0,12,4,8,0,0,0,116,33,83,38,8,30,191,56,135,19,6,13,345,97,248,43.51983,-114.31555
Idaho,BLAINE,Bellevue Police Department,ID0070400,65,31,34,74,35,39,0,0,0,0,0,0,3,1,2,2,1,1,76,23,53,10,3,7,77,24,53,7,3,4,163,50,113,43.394482,-113.95529
Idaho,BOISE,Boise County Sheriff's Office,ID0080000,198,68,130,234,77,157,9,4,5,0,0,0,25,5,20,2,0,2,119,9,110,57,10,47,347,39,308,32,8,24,523,58,465,43.987275,-115.71511
Idaho,BOISE,Idaho City Police Department,ID0080100,7,3,4,11,3,8,0,0,0,0,0,0,2,0,2,0,0,0,7,2,5,0,0,0,14,0,14,3,0,3,21,2,19,43.987275,-115.71511
Idaho,BONNER,Bonner County Sheriff's Office,ID0090000,439,187,252,562,221,341,30,11,19,0,0,0,57,16,41,20,9,11,1002,93,909,312,30,282,1657,156,1501,93,22,71,2971,279,2692,48.307823,-116.55705
Idaho,BONNER,Priest River Police Department,ID0090100,28,13,15,42,20,22,0,0,0,0,0,0,8,4,4,0,0,0,42,10,32,20,4,16,327,120,207,8,4,4,389,134,255,48.312512,-116.59694
Idaho,BONNER,Sandpoint Police Department,ID0090200,146,70,76,167,80,87,11,4,7,0,0,0,7,3,4,6,3,3,391,72,319,76,10,66,1197,219,978,11,5,6,1664,301,1363,48.272057,-116.56282
Idaho,BONNER,Ponderay Police Department,ID0090300,27,13,14,35,16,19,0,0,0,0,0,0,5,2,3,0,0,0,66,22,44,29,6,23,1016,375,641,5,2,3,1111,403,708,48.312512,-116.59694
Idaho,BONNEVILLE,Bonneville County Sheriff's Office,ID0100000,1196,434,762,1439,503,936,42,7,35,0,0,0,146,37,109,11,4,7,1659,211,1448,486,77,409,4307,1014,3293,202,58,144,6452,1302,5150,43.494877,-112.04055
Idaho,BONNEVILLE,Idaho Falls Police Department,ID0100200,2250,872,1378,2760,980,1780,70,16,54,0,0,0,254,35,219,19,9,10,2903,419,2484,928,154,774,7486,1634,5852,360,57,303,11317,2207,9110,43.395171,-111.621878
Idaho,BOUNDARY,Boundary County Sheriff's Office,ID0110000,63,27,36,120,44,76,6,3,3,0,0,0,32,9,23,7,3,4,183,16,167,44,10,34,207,17,190,50,14,36,434,43,391,48.773065,-116.524619
Idaho,BOUNDARY,Bonners Ferry Police Department,ID0110100,86,39,47,104,47,57,4,2,2,0,0,0,5,2,3,2,1,1,52,7,45,11,2,9,242,85,157,16,7,9,305,94,211,48.773065,-116.524619
Idaho,BUTTE,Butte County Sheriff's Office,ID0120000,36,13,23,42,14,28,0,0,0,0,0,0,3,0,3,0,0,0,21,7,14,12,4,8,43,5,38,6,1,5,76,16,60,43.6851,-113.177627
Idaho,CAMAS,Camas County Sheriff's Office,ID0130000,9,1,8,11,1,10,0,0,0,0,0,0,2,0,2,0,0,0,14,0,14,4,0,4,48,4,44,2,0,2,66,4,62,43.463396,-114.804427
Idaho,CANYON,Canyon County Sheriff's Office,ID0140000,1306,594,712,1633,708,925,51,18,33,0,0,0,119,44,75,17,7,10,1508,229,1279,721,116,605,2010,254,1756,295,103,192,4239,599,3640,43.66518,-116.68237
Idaho,CANYON,Caldwell Police Department,ID0140100,2145,914,1231,2455,1017,1438,55,13,42,0,0,0,63,18,45,11,6,5,1629,288,1341,1137,160,977,6523,1230,5293,224,69,155,9289,1678,7611,43.667896,-116.69103
Idaho,CANYON,Nampa Police Department,ID0140200,2694,1054,1640,3818,1273,2545,139,26,113,34,0,34,502,93,409,52,21,31,3323,506,2817,1901,236,1665,15109,2961,12148,929,159,770,20333,3703,16630,43.623051,-116.708527
Idaho,CANYON,Parma Police Department,ID0140300,49,20,29,64,25,39,2,1,1,0,0,0,3,1,2,0,0,0,82,20,62,23,6,17,111,23,88,11,3,8,216,49,167,43.623051,-116.708527
Idaho,CANYON,Wilder Police Department,ID0140400,27,10,17,32,10,22,2,1,1,0,0,0,2,0,2,0,0,0,46,1,45,17,0,17,70,6,64,5,0,5,133,7,126,43.623051,-116.708527
Idaho,CANYON,Middleton,ID0140500,90,32,58,114,35,79,0,0,0,0,0,0,13,1,12,2,1,1,122,9,113,29,2,27,244,10,234,22,2,20,395,21,374,,
Idaho,CARIBOU,Caribou County Sheriff's Office,ID0150000,44,20,24,46,20,26,0,0,0,0,0,0,1,0,1,0,0,0,35,9,26,17,4,13,67,14,53,2,0,2,119,27,92,42.65466,-111.5894
Idaho,CARIBOU,Soda Springs Police Department,ID0150100,80,36,44,111,49,62,3,1,2,0,0,0,7,2,5,0,0,0,55,19,36,10,4,6,186,66,120,27,11,16,251,89,162,42.786273,-111.544171
Idaho,CASSIA,Cassia County Sheriff's Office,ID0160000,379,149,230,423,156,267,5,1,4,0,0,0,14,1,13,0,0,0,471,61,410,234,21,213,1860,125,1735,33,6,27,2565,207,2358,42.535473,-113.79283
Idaho,CLARK,Clark County Sheriff's Office,ID0170000,24,12,12,31,14,17,1,0,1,0,0,0,5,1,4,0,0,0,15,4,11,4,2,2,65,13,52,7,2,5,84,19,65,44.286251,-112.36112
Idaho,CLEARWATER,Clearwater County Sheriff's Office,ID0180000,177,65,112,186,68,118,11,1,10,0,0,0,2,0,2,3,1,2,138,20,118,26,4,22,275,19,256,4,1,3,439,43,396,46.67257,-115.6535
Idaho,CLEARWATER,Orofino Police Department,ID0180100,83,34,49,95,38,57,4,1,3,0,0,0,5,2,3,3,1,2,300,15,285,30,7,23,258,31,227,6,2,4,588,53,535,46.67257,-115.6535
Idaho,CUSTER,Custer County Sheriff's Office,ID0190000,35,14,21,62,22,40,0,0,0,0,0,0,8,3,5,6,3,3,46,9,37,12,2,10,135,7,128,19,4,15,193,18,175,44.273341,-114.252251
Idaho,CUSTER,Challis Police Department,ID0190300,26,12,14,30,13,17,0,0,0,0,0,0,4,1,3,0,0,0,19,1,18,6,0,6,56,4,52,4,1,3,81,5,76,44.273341,-114.252251
Idaho,ELMORE,Elmore County Sheriff's Office,ID0200000,255,105,150,294,117,177,8,3,5,0,0,0,28,8,20,4,2,2,110,13,97,65,12,53,254,21,233,31,9,22,429,46,383,43.137493,-115.67231
Idaho,ELMORE,Mountain Home Police Department,ID0200200,447,186,261,545,212,333,25,5,20,0,0,0,56,10,46,2,1,1,281,56,225,108,16,92,1475,192,1283,84,20,64,1864,264,1600,43.394677,-115.471204
Idaho,FRANKLIN,Franklin County Sheriff's Office,ID0210000,34,17,17,41,19,22,0,0,0,0,0,0,5,1,4,2,1,1,38,7,31,13,2,11,175,19,156,5,1,4,226,28,198,42.096275,-111.87773
Idaho,FRANKLIN,Preston Police Department,ID0210100,33,12,21,62,18,44,4,2,2,0,0,0,16,1,15,7,3,4,124,16,108,16,6,10,308,54,254,20,3,17,448,76,372,42.09629,-111.87855
Idaho,FREMONT,Fremont County Sheriff's Office,ID0220000,133,66,67,173,84,89,6,2,4,0,0,0,30,13,17,2,1,1,101,35,66,66,20,46,479,115,364,38,17,21,646,170,476,44.218091,-111.484429
Idaho,FREMONT,Ashton,ID0220100,12,6,6,14,7,7,0,0,0,0,0,0,2,1,1,0,0,0,10,2,8,3,0,3,33,6,27,2,1,1,46,8,38,,
Idaho,FREMONT,St. Anthony Police Department,ID0220200,61,28,33,66,29,37,0,0,0,0,0,0,4,1,3,0,0,0,44,13,31,10,2,8,205,45,160,5,1,4,259,60,199,43.96253,-111.68202
Idaho,GEM,Gem County Sheriff's Office,ID0230000,146,59,87,171,63,108,7,3,4,0,0,0,14,0,14,2,0,2,121,18,103,30,3,27,173,26,147,22,4,18,324,47,277,43.87561,-116.495476
Idaho,GEM,Emmett Police Department,ID0230100,288,109,179,346,124,222,20,4,16,0,0,0,45,11,34,0,0,0,154,32,122,65,17,48,624,156,468,56,15,41,843,205,638,44.061473,-116.398784
Idaho,GOODING,Gooding County Sheriff's Office,ID0240000,154,51,103,180,57,123,2,0,2,0,0,0,15,3,12,1,0,1,136,13,123,92,5,87,229,21,208,22,5,17,457,39,418,42.939297,-114.712845
Idaho,GOODING,Gooding Police Department,ID0240100,106,49,57,131,60,71,5,1,4,0,0,0,12,6,6,2,1,1,108,19,89,45,17,28,289,58,231,16,7,9,442,94,348,42.940643,-114.715576
Idaho,GOODING,Wendell Police Department,ID0240200,55,18,37,68,20,48,2,0,2,0,0,0,12,2,10,0,0,0,97,5,92,46,4,42,124,17,107,13,2,11,267,26,241,42.973185,-114.82142
Idaho,GOODING,Hagerman Police Department,ID0240300,4,0,4,5,0,5,0,0,0,0,0,0,1,0,1,0,0,0,6,0,6,8,0,8,32,0,32,1,0,1,46,0,46,42.973185,-114.82142
Idaho,IDAHO,Idaho County Sheriff's Office,ID0250000,330,155,175,375,174,201,4,1,3,0,0,0,21,8,13,6,3,3,245,58,187,48,13,35,405,80,325,35,14,21,698,151,547,45.926365,-116.122665
Idaho,IDAHO,Cottonwood Police Department,ID0250100,11,5,6,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,1,1,17,1,16,1,0,1,24,2,22,45.849237,-115.467376
Idaho,IDAHO,Grangeville Police Department,ID0250200,59,24,35,70,26,44,2,1,1,0,0,0,8,2,6,0,0,0,77,11,66,7,0,7,170,35,135,10,2,8,254,46,208,45.92685,-116.12123
Idaho,JEFFERSON,Jefferson County Sheriff's Office,ID0260000,167,77,90,196,87,109,4,2,2,0,0,0,9,3,6,4,1,3,259,51,208,127,27,100,717,83,634,22,8,14,1103,161,942,43.679657,-111.91145
Idaho,JEFFERSON,Rigby Police Department,ID0260100,46,20,26,59,25,34,0,0,0,0,0,0,6,3,3,2,1,1,81,27,54,30,5,25,439,107,332,9,4,5,550,139,411,43.796965,-112.318588
Idaho,JEROME,Jerome County Sheriff's Office,ID0270000,360,154,206,424,179,245,12,2,10,0,0,0,47,20,27,3,1,2,357,64,293,170,28,142,550,78,472,54,22,32,1077,170,907,42.726112,-114.518456
Idaho,JEROME,Jerome Police Department,ID0270100,377,162,215,567,232,335,13,4,9,0,0,0,88,34,54,2,1,1,365,58,307,175,42,133,1493,389,1104,150,55,95,2033,489,1544,42.723957,-114.51839
Idaho,KOOTENAI,Kootenai County Sheriff's Office,ID0280000,1357,595,762,1726,741,985,97,22,75,2,1,1,215,92,123,35,14,21,2167,411,1756,561,146,415,6536,1703,4833,287,116,171,9264,2260,7004,47.677113,-116.694918
Idaho,KOOTENAI,Coeur d'Alene Police Department,ID0280100,1723,784,939,2593,1127,1466,145,41,104,0,0,0,398,163,235,15,6,9,1300,240,1060,619,130,489,7832,1730,6102,690,275,415,9751,2100,7651,47.715008,-116.80246
Idaho,KOOTENAI,Post Falls Police Department,ID0280200,668,314,354,817,380,437,28,7,21,0,0,0,61,30,31,2,1,1,703,120,583,288,68,220,4601,1366,3235,102,49,53,5592,1554,4038,47.714752,-116.92871
Idaho,KOOTENAI,Spirit Lake Police Department,ID0280400,38,13,25,46,15,31,8,2,6,0,0,0,4,1,3,0,0,0,57,3,54,13,1,12,185,16,169,8,2,6,255,20,235,47.677113,-116.694918
Idaho,KOOTENAI,Rathdrum Police Department,ID0280500,81,36,45,105,43,62,3,1,2,0,0,0,9,4,5,0,0,0,198,23,175,56,10,46,505,124,381,15,4,11,759,157,602,47.810562,-116.89777
Idaho,LATAH,Latah County Sheriff's Office,ID0290000,195,89,106,258,108,150,3,0,3,0,0,0,40,10,30,2,1,1,371,54,317,68,13,55,693,115,578,60,18,42,1132,182,950,46.81892,-116.730974
Idaho,LATAH,Moscow Police Department,ID0290500,131,38,93,181,48,133,14,1,13,0,0,0,14,2,12,10,3,7,588,63,525,97,3,94,3406,408,2998,24,3,21,4091,474,3617,46.73173,-117.00105
Idaho,LEMHI,Lemhi County Sheriff's Office,ID0300000,72,31,41,77,32,45,4,1,3,0,0,0,1,0,1,2,1,1,40,6,34,15,4,11,59,2,57,1,0,1,114,12,102,44.928789,-113.887841
Idaho,LEMHI,Salmon Police Department,ID0300200,169,61,108,170,61,109,0,0,0,0,0,0,1,0,1,0,0,0,76,20,56,1,0,1,123,18,105,1,0,1,200,38,162,44.928789,-113.887841
Idaho,LEWIS,Lewis County Sheriff's Office,ID0310000,36,13,23,39,13,26,1,0,1,0,0,0,1,0,1,2,0,2,54,0,54,32,4,28,155,12,143,1,0,1,241,16,225,46.23299,-116.24048
Idaho,LINCOLN,Lincoln County Sheriff's Office,ID0320000,103,25,78,129,33,96,3,1,2,0,0,0,12,3,9,1,0,1,67,17,50,18,2,16,94,5,89,25,8,17,179,24,155,42.93367,-114.40767
Idaho,LINCOLN,Shoshone Police Department,ID0320100,46,19,27,52,21,31,1,0,1,0,0,0,0,0,0,0,0,0,17,1,16,3,1,2,27,4,23,4,1,3,47,6,41,42.986181,-114.153899
Idaho,MADISON,Madison County Sheriff's Office,ID0330000,139,67,72,245,114,131,2,1,1,0,0,0,53,22,31,6,3,3,166,52,114,64,20,44,324,59,265,98,43,55,554,131,423,43.82606,-111.77962
Idaho,MADISON,Rexburg Police Department,ID0330100,138,66,72,205,98,107,4,1,3,0,0,0,51,23,28,2,1,1,223,75,148,74,28,46,1519,436,1083,63,30,33,1816,539,1277,43.789709,-111.65655
Idaho,MINIDOKA,Minidoka County Sheriff's Office,ID0340000,191,84,107,235,101,134,6,2,4,0,0,0,24,10,14,5,2,3,258,38,220,129,26,103,699,115,584,35,13,22,1086,179,907,42.856937,-113.64001
Idaho,MINIDOKA,Rupert Police Department,ID0340100,134,51,83,181,69,112,9,2,7,0,0,0,23,10,13,1,0,1,171,19,152,54,13,41,524,90,434,37,15,22,749,122,627,42.856937,-113.64001
Idaho,MINIDOKA,Heyburn Police Department,ID0340200,39,13,26,56,16,40,1,0,1,0,0,0,10,1,9,1,0,1,64,4,60,17,1,16,186,18,168,12,1,11,267,23,244,42.856937,-113.64001
Idaho,NEZ PERCE,Nez Perce County Sheriff's Office,ID0350000,106,51,55,132,60,72,0,0,0,0,0,0,10,2,8,6,3,3,190,36,154,40,5,35,413,60,353,19,6,13,643,101,542,46.333766,-116.760903
Idaho,NEZ PERCE,Lewiston Police Department,ID0350200,484,208,276,743,287,456,34,11,23,0,0,0,121,39,82,15,5,10,1932,323,1609,584,61,523,6752,1021,5731,192,55,137,9268,1405,7863,46.4178,-117.01638
Idaho,ONEIDA,Oneida County Sheriff's Office,ID0360000,55,19,36,79,28,51,0,0,0,0,0,0,8,2,6,0,0,0,100,7,93,30,8,22,212,38,174,18,6,12,342,53,289,42.186516,-112.244606
Idaho,OWYHEE,Owyhee County Sheriff's Office,ID0370000,288,120,168,347,138,209,7,1,6,0,0,0,46,14,32,3,1,2,185,35,150,92,15,77,347,42,305,54,16,38,624,92,532,42.593063,-116.142655
Idaho,OWYHEE,Homedale Police Department,ID0370100,110,29,81,125,30,95,1,0,1,0,0,0,9,0,9,0,0,0,143,18,125,54,4,50,248,28,220,13,1,12,445,50,395,42.593063,-116.142655
Idaho,PAYETTE,Payette County Sheriff's Office,ID0380000,250,115,135,288,129,159,5,2,3,0,0,0,20,8,12,0,0,0,168,33,135,97,22,75,493,62,431,33,13,20,758,117,641,44.07812,-116.93004
Idaho,PAYETTE,Fruitland Police Department,ID0380100,43,13,30,70,17,53,0,0,0,3,1,2,10,0,10,0,0,0,156,14,142,32,2,30,270,16,254,17,1,16,458,32,426,44.00274,-116.748655
Idaho,PAYETTE,Payette Police Department,ID0380300,287,125,162,360,154,206,28,11,17,0,0,0,43,18,25,0,0,0,211,48,163,150,43,107,947,178,769,66,27,39,1308,269,1039,44.0748,-116.9365
Idaho,POWER,Power County Sheriff's Office,ID0390000,62,27,35,79,33,46,4,2,2,0,0,0,16,6,10,0,0,0,55,5,50,55,7,48,204,21,183,17,6,11,314,33,281,42.782623,-112.848564
Idaho,POWER,American Falls Police Department,ID0390100,106,49,57,119,54,65,4,2,2,0,0,0,4,1,3,0,0,0,103,24,79,62,17,45,431,116,315,8,3,5,596,157,439,42.694126,-112.844407
Idaho,SHOSHONE,Shoshone County Sheriff's Office,ID0400000,383,174,209,468,208,260,15,4,11,0,0,0,42,19,23,2,1,1,329,47,282,124,23,101,828,184,644,74,30,44,1281,254,1027,47.471626,-115.92217
Idaho,SHOSHONE,Kellogg Police Department,ID0400100,106,46,60,122,51,71,6,0,6,0,0,0,9,4,5,0,0,0,125,15,110,40,6,34,258,39,219,14,5,9,423,60,363,47.538784,-116.13882
Idaho,SHOSHONE,Osburn Police Department,ID0400300,34,16,18,45,20,25,0,0,0,0,0,0,6,3,3,0,0,0,80,13,67,15,6,9,92,23,69,8,3,5,187,42,145,47.347694,-115.885092
Idaho,SHOSHONE,Pinehurst Police Department,ID0400400,12,5,7,17,7,10,1,0,1,0,0,0,4,2,2,0,0,0,19,3,16,6,0,6,91,17,74,5,2,3,116,20,96,47.347694,-115.885092
Idaho,TETON,Teton County Sheriff's Office,ID0410000,120,53,67,161,64,97,2,1,1,0,0,0,12,3,9,2,1,1,90,5,85,33,7,26,350,56,294,38,10,28,473,68,405,43.760994,-111.211765
Idaho,TWIN FALLS,Twin Falls County Sheriff's Office,ID0420000,410,149,261,471,153,318,12,1,11,0,0,0,32,1,31,4,2,2,724,47,677,144,18,126,558,39,519,48,1,47,1426,104,1322,42.352309,-114.665639
Idaho,TWIN FALLS,Buhl Police Department,ID0420100,124,51,73,156,60,96,12,2,10,0,0,0,14,3,11,3,1,2,126,15,111,53,17,36,430,73,357,23,5,18,609,105,504,42.599926,-114.761
Idaho,TWIN FALLS,Twin Falls Police Department,ID0420200,2224,876,1348,2762,1020,1742,82,19,63,0,0,0,280,63,217,24,12,12,1428,162,1266,647,75,572,8727,1942,6785,407,97,310,10802,2179,8623,42.352309,-114.665639
Idaho,TWIN FALLS,Kimberly Police Department,ID0420300,66,28,38,89,33,56,6,1,5,0,0,0,13,1,12,3,1,2,149,16,133,30,7,23,177,46,131,17,3,14,356,69,287,42.352309,-114.665639
Idaho,TWIN FALLS,Filer Police Department,ID0420400,36,16,20,38,16,22,0,0,0,0,0,0,2,0,2,0,0,0,37,7,30,11,2,9,89,24,65,2,0,2,137,33,104,42.352309,-114.665639
Idaho,VALLEY,Valley County Sheriff's Office,ID0430000,151,59,92,221,76,145,5,0,5,0,0,0,45,10,35,2,1,1,193,26,167,33,6,27,396,53,343,66,15,51,622,85,537,44.771531,-115.637875
Idaho,VALLEY,McCall Police Department,ID0430100,88,34,54,133,47,86,3,0,3,0,0,0,23,7,16,0,0,0,165,29,136,26,2,24,465,79,386,42,12,30,656,110,546,44.909325,-116.098175
Idaho,WASHINGTON,Washington County Sheriff's Office,ID0440000,79,32,47,99,38,61,2,1,1,0,0,0,4,1,3,2,1,1,54,12,42,19,4,15,158,22,136,18,5,13,231,38,193,44.24683,-116.965866
Idaho,WASHINGTON,Weiser Police Department,ID0440100,106,41,65,118,43,75,5,2,3,0,0,0,7,0,7,0,0,0,94,19,75,14,4,10,158,30,128,12,2,10,266,53,213,44.24683,-116.965866
Idaho,NOT SPECIFIED,Nez Perce Tribal,IDDI00400,58,24,34,64,26,38,2,0,2,0,0,0,1,0,1,1,1,0,36,2,34,27,1,26,82,2,80,3,0,3,145,5,140,46.333766,-116.760903
Idaho,NOT SPECIFIED,Coeur d'Alene Tribal,IDDI00900,179,84,95,223,105,118,5,1,4,0,0,0,10,4,6,4,2,2,181,72,109,49,20,29,317,128,189,29,14,15,547,220,327,47.218451,-116.633541
Idaho,NOT SPECIFIED,Kootenai Tribal,IDDI01100,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,2,1,1,2,0,2,0,0,0,9,1,8,,
Idaho,NOT SPECIFIED,Idaho State Police,IDISP0000,337,143,194,422,160,262,6,2,4,8,0,8,43,7,36,35,8,27,27,10,17,31,15,16,81,28,53,48,8,40,139,53,86,43.598454,-116.384605
Idaho,NOT SPECIFIED,Idaho State Lottery Security Division,IDLOT0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,114,28,86,0,0,0,115,28,87,,
